Change component parameters: Designator = "U1" ("U1"); Footprint = "PLCC-44"; UniqueID = "\ggea79149bc5769670a" ("ggea79149bc5769670a")
Change component parameters (AddParameter): Name = "spicePre"; Value = "K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "K2-3.6?6.1_SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "???"; Value = "????"; VariantName = "[No Variations]"
Change component parameters: Designator = "U5" ("U5"); Footprint = "SOP-16_L9.9-W3.9-P1.27-LS6.0-BL"; UniqueID = "\gge451f71430034165d" ("gge451f71430034165d")
Change component parameters (AddParameter): Name = "BOM_JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "UMW(?????)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "MAX3232ESE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C2904738"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contributor"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "U"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "MAX3232ESE"; VariantName = "[No Variations]"
Change component parameters: Designator = "U4" ("U4"); Footprint = "SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR"; UniqueID = "\gge1d847582e1d7008d" ("gge1d847582e1d7008d")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "UTC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "LM317G-AA3-R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Paste Type"; Value = "expand"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C19651"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contributor"; Value = "LCEDA_Lib"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "U"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "LM317(SOT-223)"; VariantName = "[No Variations]"
Change component parameters: Designator = "U3" ("U3"); Footprint = "ESP12E/F"; UniqueID = "\gge9ddbd622d1f8fac5" ("gge9ddbd622d1f8fac5")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contributor"; Value = "cpu76239"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "link"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "U"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "ESP12E/F"; VariantName = "[No Variations]"
Change component parameters: Designator = "X1" ("X1"); Footprint = "ZX SPECTRUM CONNECTOR"; UniqueID = "\gged0ea106f0748e115" ("gged0ea106f0748e115")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contributor"; Value = "cliff1024"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "link"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "U"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "ZX SPECTRUM CONNECTOR"; VariantName = "[No Variations]"
Change Net Name : Old Net Name=NetR8_2 New Net Name=RTS_TTL
Change Net Name : Old Net Name=NetR9_1 New Net Name=CTS_TTL
Change Net Name : Old Net Name=NetR10_2 New Net Name=TXD_ESP
Change Net Name : Old Net Name=NetR11_2 New Net Name=RXD_ESP
Change Net Name : Old Net Name=NetU1_2 New Net Name=D0
Change Net Name : Old Net Name=NetU1_3 New Net Name=D1
Change Net Name : Old Net Name=NetU1_4 New Net Name=D2
Change Net Name : Old Net Name=NetU1_5 New Net Name=D3
Change Net Name : Old Net Name=NetU1_6 New Net Name=D4
Change Net Name : Old Net Name=NetU1_7 New Net Name=D5
Change Net Name : Old Net Name=NetU1_8 New Net Name=D6
Change Net Name : Old Net Name=NetU1_9 New Net Name=D7
Change Net Name : Old Net Name=NetU1_11 New Net Name=RXD_TTL
Change Net Name : Old Net Name=NetU1_13 New Net Name=TXD_TTL
Change Net Name : Old Net Name=NetU1_20 New Net Name=WR
Change Net Name : Old Net Name=NetU1_24 New Net Name=RD
Change Net Name : Old Net Name=NetU1_29 New Net Name=A10
Change Net Name : Old Net Name=NetU1_30 New Net Name=A9
Change Net Name : Old Net Name=NetU1_31 New Net Name=A8
Change Net Name : Old Net Name=NetU2_1 New Net Name=IORQ
Change Net Name : Old Net Name=NetU2_2 New Net Name=A0
Change Net Name : Old Net Name=NetU2_4 New Net Name=A1
Change Net Name : Old Net Name=NetU2_6 New Net Name=A2
Change Net Name : Old Net Name=NetU2_8 New Net Name=A3
Change Net Name : Old Net Name=NetU2_11 New Net Name=A4
Change Net Name : Old Net Name=NetU2_13 New Net Name=A5
Change Net Name : Old Net Name=NetU2_15 New Net Name=A6
Change Net Name : Old Net Name=NetU2_17 New Net Name=A7
Change Net Name : Old Net Name=NetU5_7 New Net Name=RTS
Change Net Name : Old Net Name=NetU5_8 New Net Name=CTS
Change Net Name : Old Net Name=NetU5_13 New Net Name=RXD
Change Net Name : Old Net Name=NetU5_14 New Net Name=TXD
